name,id,population,1_i,1_d,1_r,2_i,2_d,2_r,3_i,3_d,3_r,4_i,4_d,4_r,5_i,5_d,5_r,6_i,6_d,6_r,7_i,7_d,7_r,8_i,8_d,8_r,9_i,9_d,9_r,10_i,10_d,10_r,11_i,11_d,11_r,12_i,12_d,12_r,13_i,13_d,13_r,14_i,14_d,14_r,15_i,15_d,15_r,16_i,16_d,16_r,17_i,17_d,17_r,18_i,18_d,18_r,19_i,19_d,19_r,20_i,20_d,20_r,21_i,21_d,21_r,22_i,22_d,22_r,23_i,23_d,23_r,24_i,24_d,24_r,25_i,25_d,25_r,26_i,26_d,26_r,27_i,27_d,27_r,28_i,28_d,28_r,29_i,29_d,29_r,30_i,30_d,30_r,31_i,31_d,31_r,32_i,32_d,32_r,33_i,33_d,33_r,34_i,34_d,34_r,35_i,35_d,35_r,36_i,36_d,36_r,37_i,37_d,37_r,38_i,38_d,38_r,39_i,39_d,39_r,40_i,40_d,40_r,41_i,41_d,41_r,42_i,42_d,42_r,43_i,43_d,43_r,44_i,44_d,44_r,45_i,45_d,45_r,46_i,46_d,46_r,47_i,47_d,47_r,48_i,48_d,48_r,49_i,49_d,49_r,50_i,50_d,50_r,51_i,51_d,51_r,52_i,52_d,52_r,53_i,53_d,53_r,54_i,54_d,54_r,55_i,55_d,55_r,56_i,56_d,56_r,57_i,57_d,57_r,58_i,58_d,58_r,59_i,59_d,59_r,60_i,60_d,60_r,61_i,61_d,61_r,62_i,62_d,62_r,63_i,63_d,63_r,64_i,64_d,64_r,65_i,65_d,65_r,66_i,66_d,66_r
Total,TOT,29,121,286,555,17,28,654,18,30,941,26,36,1434,42,39,2118,56,52,2927,82,61,5578,131,107,6166,133,126,8234,171,143,9927,213,222,12038,259,284,16787,362,472,19881,426,623,23892,492,852,27635,564,1124,30794,634,1487,34391,719,2011,37120,806,2616,40150,906,3244,42762,1013,3946,44802,1113,4683,45221,1118,5150,60368,1371,6295,66885,1523,8058,69030,1666,9395,71224,1770,10865,73258,1868,12583,75136,2007,14352,75639,2122,16121,76197,2247,18177,76819,2251,18890,78572,2458,22886,78958,2469,23394,79561,2629,25227,80406,2708,27905,81388,2770,30384,82746,2814,33277,84112,2872,36711,86011,2941,39782,88369,2996,42716,90306,3085,45602,92840,3160,48228,95120,3254,51170,97886,3348,53796,101801,3460,55865,105847,3558,58358,109821,3802,60694,113590,3988,62494,118620,4262,64404,125875,4615,67003,128352,4720,68324,145205,5404,70251,156101,5819,72624,167454,6440,76034,181574,7126,78088,197102,7905,80840,214821,8733,83312,242500,9867,84975,272035,11299,87420,304396,12973,91692,336953,14651,97899,378235,16505,98351,418045,18625,108000,467653,21181,113787,529591,23970,122150,593291,27198,130915
Afghanistan,AFG,29121286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,0,0,4,0,0,5,0,0,7,0,0,7,0,0,7,0,0,11,0,0,16,0,0,21,0,1,22,0,1,22,0,1,22,0,1,24,0,1,24,0,1,40,1,1,40,1,1,74,1,1,84,2,2,94,4,2,110,4,2
Albania,ALB,2986952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,12,1,0,23,1,0,33,1,0,38,1,0,42,1,0,51,1,0,55,1,0,59,2,0,64,2,0,70,2,0,76,2,2,89,2,2,104,4,2,123,5,10,146,5,17,174,6,17,186,8,31
Algeria,DZA,34586184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,5,0,0,12,0,0,12,0,0,17,0,0,17,0,0,19,0,0,20,0,0,20,0,0,20,0,0,24,1,8,26,2,8,37,3,12,48,4,12,54,4,12,60,4,12,74,7,12,87,9,32,90,11,32,139,15,32,201,17,65,230,17,65,264,19,24,302,21,65,367,25,29,409,26,29
American Samoa,ASM,57881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,2,0,1,39,0,1,39,0,1,53,0,1,75,0,1,88,0,1,113,1,1,133,1,1,164,1,1,188,1,1,224,3,1,267,3,1
Angola,AGO,13068161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,4,0,0,4,0,0
Anguilla,AIA,13254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,86754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,7,0,0,7,0,0
