name,id,population,0_i,0_d,0_r,0_ci,0_ti,0_td,0_tr,1_i,1_d,1_r,1_ci,1_ti,1_td,1_tr,2_i,2_d,2_r,2_ci,2_ti,2_td,2_tr,3_i,3_d,3_r,3_ci,3_ti,3_td,3_tr,4_i,4_d,4_r,4_ci,4_ti,4_td,4_tr,5_i,5_d,5_r,5_ci,5_ti,5_td,5_tr,6_i,6_d,6_r,6_ci,6_ti,6_td,6_tr,7_i,7_d,7_r,7_ci,7_ti,7_td,7_tr,8_i,8_d,8_r,8_ci,8_ti,8_td,8_tr,9_i,9_d,9_r,9_ci,9_ti,9_td,9_tr,10_i,10_d,10_r,10_ci,10_ti,10_td,10_tr,11_i,11_d,11_r,11_ci,11_ti,11_td,11_tr,12_i,12_d,12_r,12_ci,12_ti,12_td,12_tr,13_i,13_d,13_r,13_ci,13_ti,13_td,13_tr,14_i,14_d,14_r,14_ci,14_ti,14_td,14_tr,15_i,15_d,15_r,15_ci,15_ti,15_td,15_tr,16_i,16_d,16_r,16_ci,16_ti,16_td,16_tr,17_i,17_d,17_r,17_ci,17_ti,17_td,17_tr,18_i,18_d,18_r,18_ci,18_ti,18_td,18_tr,19_i,19_d,19_r,19_ci,19_ti,19_td,19_tr,20_i,20_d,20_r,20_ci,20_ti,20_td,20_tr,21_i,21_d,21_r,21_ci,21_ti,21_td,21_tr,22_i,22_d,22_r,22_ci,22_ti,22_td,22_tr,23_i,23_d,23_r,23_ci,23_ti,23_td,23_tr,24_i,24_d,24_r,24_ci,24_ti,24_td,24_tr,25_i,25_d,25_r,25_ci,25_ti,25_td,25_tr,26_i,26_d,26_r,26_ci,26_ti,26_td,26_tr,27_i,27_d,27_r,27_ci,27_ti,27_td,27_tr,28_i,28_d,28_r,28_ci,28_ti,28_td,28_tr,29_i,29_d,29_r,29_ci,29_ti,29_td,29_tr,30_i,30_d,30_r,30_ci,30_ti,30_td,30_tr,31_i,31_d,31_r,31_ci,31_ti,31_td,31_tr,32_i,32_d,32_r,32_ci,32_ti,32_td,32_tr,33_i,33_d,33_r,33_ci,33_ti,33_td,33_tr,34_i,34_d,34_r,34_ci,34_ti,34_td,34_tr,35_i,35_d,35_r,35_ci,35_ti,35_td,35_tr,36_i,36_d,36_r,36_ci,36_ti,36_td,36_tr,37_i,37_d,37_r,37_ci,37_ti,37_td,37_tr,38_i,38_d,38_r,38_ci,38_ti,38_td,38_tr,39_i,39_d,39_r,39_ci,39_ti,39_td,39_tr,40_i,40_d,40_r,40_ci,40_ti,40_td,40_tr,41_i,41_d,41_r,41_ci,41_ti,41_td,41_tr,42_i,42_d,42_r,42_ci,42_ti,42_td,42_tr,43_i,43_d,43_r,43_ci,43_ti,43_td,43_tr,44_i,44_d,44_r,44_ci,44_ti,44_td,44_tr,45_i,45_d,45_r,45_ci,45_ti,45_td,45_tr,46_i,46_d,46_r,46_ci,46_ti,46_td,46_tr,47_i,47_d,47_r,47_ci,47_ti,47_td,47_tr,48_i,48_d,48_r,48_ci,48_ti,48_td,48_tr,49_i,49_d,49_r,49_ci,49_ti,49_td,49_tr,50_i,50_d,50_r,50_ci,50_ti,50_td,50_tr,51_i,51_d,51_r,51_ci,51_ti,51_td,51_tr,52_i,52_d,52_r,52_ci,52_ti,52_td,52_tr,53_i,53_d,53_r,53_ci,53_ti,53_td,53_tr,54_i,54_d,54_r,54_ci,54_ti,54_td,54_tr,55_i,55_d,55_r,55_ci,55_ti,55_td,55_tr,56_i,56_d,56_r,56_ci,56_ti,56_td,56_tr,57_i,57_d,57_r,57_ci,57_ti,57_td,57_tr,58_i,58_d,58_r,58_ci,58_ti,58_td,58_tr,59_i,59_d,59_r,59_ci,59_ti,59_td,59_tr,60_i,60_d,60_r,60_ci,60_ti,60_td,60_tr,61_i,61_d,61_r,61_ci,61_ti,61_td,61_tr,62_i,62_d,62_r,62_ci,62_ti,62_td,62_tr,63_i,63_d,63_r,63_ci,63_ti,63_td,63_tr,64_i,64_d,64_r,64_ci,64_ti,64_td,64_tr,65_i,65_d,65_r,65_ci,65_ti,65_td,65_tr,,
Total,TOT,0,555,17,28,510,80,0,0,654,18,30,606,99,1,2,941,26,36,879,287,8,6,1434,42,39,1353,493,16,3,2118,56,52,2010,684,14,13,2927,82,61,2784,809,26,9,5578,131,107,5340,2651,49,46,6166,133,126,5907,588,2,19,8234,171,143,7920,2068,38,17,9927,213,222,9492,1693,42,79,12038,259,284,11495,2111,46,62,16787,362,472,15953,4749,103,188,19881,426,623,18832,3094,64,151,23892,492,852,22548,4011,66,229,27635,564,1124,25947,3743,72,272,30794,634,1487,28673,3159,70,363,34391,719,2011,31661,3597,85,524,37120,806,2616,33698,2729,87,605,40150,906,3244,36000,3030,100,628,42762,1013,3946,37803,2612,107,702,44802,1113,4683,39006,2040,100,737,45221,1118,5150,38953,419,5,467,60368,1371,6295,52702,15147,253,1145,66885,1523,8058,57304,6517,152,1763,69030,1666,9395,57969,2145,143,1337,71224,1770,10865,58589,2194,104,1470,73258,1868,12583,58807,2034,98,1718,75136,2007,14352,58777,1878,139,1769,75639,2122,16121,57396,503,115,1769,76197,2247,18177,55773,558,125,2056,76819,2251,18890,55678,622,4,713,78572,2458,22886,53228,1753,207,3996,78958,2469,23394,53095,386,11,508,79561,2629,25227,51705,603,160,1833,80406,2708,27905,49793,845,79,2678,81388,2770,30384,48234,982,62,2479,82746,2814,33277,46655,1358,44,2893,84112,2872,36711,44529,1366,58,3434,86011,2941,39782,43288,1899,69,3071,88369,2996,42716,42657,2358,55,2934,90306,3085,45602,41619,1937,89,2886,92840,3160,48228,41452,2534,75,2626,95120,3254,51170,40696,2280,94,2942,97886,3348,53796,40742,2766,94,2626,101801,3460,55865,42476,3915,112,2069,105847,3558,58358,43931,4046,98,2493,109821,3802,60694,45325,3974,244,2336,113590,3988,62494,47108,3769,186,1800,118620,4262,64404,49954,5030,274,1910,125875,4615,67003,54257,7255,353,2599,128352,4720,68324,55308,2477,105,1321,145205,5404,70251,69550,16853,684,1927,156101,5819,72624,77658,10896,415,2373,167454,6440,76034,84980,11353,621,3410,181574,7126,78088,96360,14120,686,2054,197102,7905,80840,108357,15528,779,2752,214821,8733,83312,122776,17719,828,2472,242500,9867,84975,147658,27679,1134,1663,272035,11299,87420,173316,29535,1432,2445,304396,12973,91692,199731,32361,1674,4272,336953,14651,97899,224403,32557,1678,6207,378235,16505,98351,263379,41282,1854,452,418045,18625,108000,291420,39810,2120,9649,467653,21181,113787,332685,49608,2556,5787,529591,23970,122152,383469,61938,2789,8365,593291,27198,130917,435176,63700,3228,8765,660706,30652,139417,490637,67415,3454,8500,720117,33925,149085,537107,59411,3273,9668
Afghanistan,AFG,29121286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,4,3,0,0,4,0,0,4,0,0,0,5,0,0,5,1,0,0,7,0,0,7,2,0,0,7,0,0,7,0,0,0,7,0,0,7,0,0,0,11,0,0,11,4,0,0,16,0,0,16,5,0,0,21,0,1,20,5,0,1,22,0,1,21,1,0,0,22,0,1,21,0,0,0,22,0,1,21,0,0,0,24,0,1,23,2,0,0,24,0,1,23,0,0,0,40,1,1,38,16,1,0,40,1,1,38,0,0,0,74,1,1,72,34,0,0,84,2,2,80,10,1,1,94,4,2,88,10,2,0,110,4,2,104,16,0,0,110,4,2,104,0,0,0,120,4,2,114,10,0,0
Albania,ALB,2986952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,10,0,0,10,8,0,0,12,1,0,11,2,1,0,23,1,0,22,11,0,0,33,1,0,32,10,0,0,38,1,0,37,5,0,0,42,1,0,41,4,0,0,51,1,0,50,9,0,0,55,1,0,54,4,0,0,59,2,0,57,4,1,0,64,2,0,62,5,0,0,70,2,0,68,6,0,0,76,2,2,72,6,0,2,89,2,2,85,13,0,0,104,4,2,98,15,2,0,123,5,10,108,19,1,8,146,5,17,124,23,0,7,174,6,17,151,28,1,0,186,8,31,147,12,2,14,197,10,31,156,11,2,0,212,10,33,169,15,0,2
Algeria,DZA,34586184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,3,2,0,0,5,0,0,5,2,0,0,12,0,0,12,7,0,0,12,0,0,12,0,0,0,17,0,0,17,5,0,0,17,0,0,17,0,0,0,19,0,0,19,2,0,0,20,0,0,20,1,0,0,20,0,0,20,0,0,0,20,0,0,20,0,0,0,24,1,8,15,4,1,8,26,2,8,16,2,1,0,37,3,12,22,11,1,4,48,4,12,32,11,1,0,54,4,12,38,6,0,0,60,4,12,44,6,0,0,74,7,12,55,14,3,0,87,9,32,46,13,2,20,90,11,32,47,3,2,0,139,15,32,92,49,4,0,201,17,65,119,62,2,33,230,17,65,148,29,0,0,264,19,24,221,34,2,-41,302,21,65,216,38,2,41,367,25,29,313,65,4,-36,409,26,29,354,42,1,0,454,29,31,394,45,3,2,511,31,31,449,57,2,0
American Samoa,ASM,57881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,-1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,1,1,1,0,0,39,0,1,38,37,0,0,39,0,1,38,0,0,0,53,0,1,52,14,0,0,75,0,1,74,22,0,0,88,0,1,87,13,0,0,113,1,1,111,25,1,0,133,1,1,131,20,0,0,164,1,1,162,31,0,0,188,1,1,186,24,0,0,224,3,1,220,36,2,0,267,3,1,263,43,0,0,308,3,1,304,41,0,0,334,6,1,327,26,3,0
Angola,AGO,13068161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,1,0,0,2,0,0,2,0,0,0,3,0,0,3,1,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,4,1,0,0,4,0,0,4,0,0,0,5,0,0,5,1,0,0,7,2,0,5,2,2,0
Anguilla,AIA,13254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,86754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,3,2,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,7,0,0,7,4,0,0,7,0,0,7,0,0,0,7,0,0,7,0,0,0,7,0,0,7,0,0,0
